date,new_cases,total_cases,active_cases,new_deaths,total_deaths,new_recovering,total_recovering,intubeted_cases,intesive_care_cases,new_test ,total _test
10 Mart 2020  ,0,0,0,0,0,0,0,0,0,0,0
11 Mart 2020  ,1,1,0,0,0,0,0,0,0,0,0
12 Mart 2020,0,1,0,0,0,0,0,0,0,0,0
13 Mart 2020,4,5,0,0,0,0,0,0,0,0,0
14 Mart 2020,1,6,0,0,0,0,0,0,0,0,0
15 Mart 2020,12,18,0,1,1,0,0,0,0,0,0
16 Mart 2020,29,47,0,0,1,0,0,0,0,0,0
17 Mart 2020,51,98,0,1,2,0,0,0,0,0,8002
18 Mart 2020,93,191,0,1,3,0,0,0,0,2015,10017
19 Mart 2020,168,359,0,1,4,0,0,0,0,1981,11998
20 Mart 2020,311,670,0,5,9,0,0,0,0,3656,1624
21 Mart 2020,277,947,0,12,21,0,0,0,0,2953,18577
22 Mart 2020,289,1236,0,9,30,0,0,0,0,1768,20345
23 Mart 2020,293,1529,0,7,37,0,0,0,0,3672,24017
24 Mart 2020,343,1872,1828,7,44,0,26,102,136,3952,27969
25 Mart 2020,561,2433,0,15,59,0,0,0,0,5035,33004
26 Mart 2020,1196,3629,0,16,75,0,0,0,0,7286,40290
27 Mart 2020,2069,5698,5564,17,92,16,42,241,344,7533,47823
28 Mart 2020,1704,7402,7224,16,108,28,70,309,445,7641,55464
29 Mart 2020,1815,9217,8981,23,131,35,105,394,568,9982,65446
30 Mart 2020,1610,10827,10497,37,168,57,162,523,725,11535,76981
31 Mart 2020,2704,13531,13074,46,214,81,243,622,847,15422,92403
1 Nisan 2020,2148,15679,15069,63,277,90,333,692,979,14397,106799
2 Nisan 2020,2456,18315,17364,79,356,82,415,783,1101,18757,125556
3 Nisan 2020,2786,20921,20012,69,425,69,484,867,1251,16160,14716
4 Nisan 2020,3013,23934,22647,76,501,302,786,909,1311,19664,161380
5 Nisan 2020,3135,27069,25453,73,574,256,1042,935,1381,20065,181445
6 Nisan 2020,3148,30217,28242,75,649,284,1326,966,1415,21400,202845
7 Nisan 2020,3892,34109,31802,76,725,256,1582,987,1574,20023,222868
8 Nisan 2020,4117,38226,35568,87,812,264,1846,995,1492,24900,247768
9 Nisan 2020,4056,42282,39232,96,908,296,2142,1017,1552,28578,276338
10 Nisan 2020,4747,47029,43600,98,1006,281,2423,1062,1667,30864,307210
11 Nisan 2020,5138,52167,48101,95,1101,542,2965,1021,1626,33170,340380
12 Nisan 2020,4789,56956,52312,97,1198,481,3446,978,1665,35720,376100
13 Nisan 2020,4093,61049,55796,98,1296,511,3957,1063,1786,34456,410556
14 Nisan 2020,4062,65111,58909,107,1403,842,4799,1087,1809,33070,443626
15 Nisan 2020,4281,69392,62200,115,1518,875,5674,1052,1820,34090,477716
